step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,5.79283,29.75581,-1,5.79283,3214,4963,-1,3214,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n54)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n10),(nginx,n10),(mariadb,n10),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n33),(memcached,n25)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n54)"
1,6.67612,2.03772,3.08935,3.08935,3340,4506,3340,3340,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n5)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n5)","(memcached,n0),(busybox,n0),(nginx,n0),(mariadb,n0),(memcached,n5),(memcached,n2)","(memcached,n0),(busybox,n0),(nginx,n0),(mariadb,n0),(memcached,n5),(memcached,n2)"
2,6.63185,32.92687,65.23652,71.86837,3793,5341,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n48),(nginx,n6),(mariadb,n92)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n10),(nginx,n10),(mariadb,n10),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17),(memcached,n25)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n48),(nginx,n6),(mariadb,n92)"
3,6.81105,30.8732,0.18595,0.18595,3214,4963,3793,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n27),(memcached,n33)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n10),(nginx,n10),(mariadb,n10),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n33),(memcached,n25)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n48),(nginx,n6),(mariadb,n92)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n48),(nginx,n6),(mariadb,n92)"
4,6.70024,5.12413,0.19496,6.8952,3671,4254,-1,3671,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n40),(memcached,n40),(nginx,n40),(mariadb,n40),(memcached,n33)","(busybox,n40),(memcached,n40),(nginx,n40),(mariadb,n40),(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n2),(nginx,n2),(mariadb,n2),(memcached,n33)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(busybox,n40),(memcached,n40),(nginx,n40),(mariadb,n40),(memcached,n33)"
5,6.63735,1.25864,0.19715,6.834499999999999,3793,4632,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n6),(memcached,n33),(nginx,n19),(mariadb,n92)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n6),(memcached,n33),(nginx,n19),(mariadb,n92)"
6,6.21314,31.67579,0.18628,6.39942,3793,5341,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n50),(nginx,n10),(mariadb,n92)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n10),(nginx,n10),(mariadb,n10),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17),(memcached,n25)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n50),(nginx,n10),(mariadb,n92)"
7,6.48904,33.83771,0.19938,6.68842,3793,5341,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n74),(nginx,n6),(mariadb,n10)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n10),(nginx,n10),(mariadb,n10),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17),(memcached,n27)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n74),(nginx,n6),(mariadb,n10)"
8,6.2665,1.92181,0.2222,6.4887,3793,4632,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n1),(memcached,n101),(nginx,n54),(mariadb,n6)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n18)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n1),(memcached,n101),(nginx,n54),(mariadb,n6)"
9,6.02546,3.13501,0.19825,6.22371,3793,4380,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n1),(memcached,n33),(nginx,n6),(mariadb,n50)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(nginx,n2),(mariadb,n2),(memcached,n1),(memcached,n33)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n1),(memcached,n33),(nginx,n6),(mariadb,n50)"
10,5.89948,1.27127,1.281,1.281,3793,4632,4376,4376,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n6),(mariadb,n6),(memcached,n33),(nginx,n33)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17)","(busybox,n0),(nginx,n0),(mariadb,n0),(memcached,n0),(busybox,n2),(nginx,n1),(mariadb,n1),(memcached,n1),(memcached,n33)","(busybox,n0),(nginx,n0),(mariadb,n0),(memcached,n0),(busybox,n2),(nginx,n1),(mariadb,n1),(memcached,n1),(memcached,n33)"
